id,ticker,average_sentiment_score,article_count,calculation_date
272,MSFT,0.19553246,50,2026-04-10 20:19:02
273,ADBE,-0.061468,30,2026-04-10 20:19:08
274,NFLX,0.254070708333333,48,2026-04-10 20:19:15
275,MDLZ,0.0952455833333333,12,2026-04-10 20:19:21
276,CMCSA,0.0958519032258064,31,2026-04-10 20:19:27
277,TSLA,0.07235172,50,2026-04-10 20:19:33
278,PYPL,-0.275921918918919,37,2026-04-10 20:19:40
